summary	Translation	Positive	Negative	EmotionRationale
Skies turned blood red above parts of southeast Australia on Sunday as residents sought refuge from deadly bushfires and a senior firefighter described the previous two four hours as one of our worst days ever 	Skies turned blood red above parts of southeast Australia on Sunday as residents sought refuge from deadly bushfires and a senior firefighter described the previous two four hours as one of our worst days ever	1	-3	 Skies[0] turned[0] blood[0] red[0] above[0] parts[0] of[0] southeast[0] Australia[0] on[0] Sunday[0] as[0] residents[0] sought[0] refuge[0] from[0] deadly[-1] bushfires[0] and[0] a[0] senior[0] firefighter[0] described[0] the[0] previous[0] two[0] four[0] hours[0] as[0] one[0] of[0] our[0] worst[-2] days[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Sky News says Tuesdays event will not go ahead unless Boris Johnson accepts its invitation	Sky News says Tuesdays event will not go ahead unless Boris Johnson accepts its invitation	1	-1	 Sky[0] News[0] says[0] Tuesdays[0] event[0] will[0] not[0] go[0] ahead[0] unless[0] Boris[0] Johnson[0] accepts[0] its[0] invitation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
So far at this years Consumer Electronics Show LG unveiled its eight K TVs sex toys that were banned last year have returned and a headless robot kitten made an appearance	So far at this years Consumer Electronics Show LG unveiled its eight K TVs sex toys that were banned last year have returned and a headless robot kitten made an appearance	1	-1	 So[0] far[0] at[0] this[0] years[0] Consumer[0] Electronics[0] Show[0] LG[0] unveiled[0] its[0] eight[0] K[0] TVs[0] sex[0] toys[0] that[0] were[0] banned[0] last[0] year[0] have[0] returned[0] and[0] a[0] headless[0] robot[0] kitten[0] made[0] an[0] appearance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
So far Boris has been silent on the police call out to his home	So far Boris has been silent on the police call out to his home	1	-1	 So[0] far[0] Boris[0] has[0] been[0] silent[0] on[0] the[0] police[0] call[0] out[0] to[0] his[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Soleimani was a uniformed member of an enemy military who was actively planning to kill Americans Dershowitz said	Soleimani was a uniformed member of an enemy military who was actively planning to kill Americans Dershowitz said	1	-2	 Soleimani[0] was[0] a[0] uniformed[0] member[0] of[0] an[0] enemy[-1] military[0] who[0] was[0] actively[0] planning[0] to[0] kill[-1] Americans[0] Dershowitz[0] said[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Soleimanis death actually improves the prospects for peace by encouraging the Iranian people to stand up against their rulers	Soleimanis death actually improves the prospects for peace by encouraging the Iranian people to stand up against their rulers	2	-3	 Soleimanis[0] death[-2] actually[0] improves[1] the[0] prospects[0] for[0] peace[0] by[0] encouraging[1] the[0] Iranian[0] people[0] to[0] stand[0] up[0] against[-1] their[0] rulers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
Solid State Logic SSL is best known in the audio realm for its huge professional desks that cost tens of thousands of dollars But its now hoping to break into home studios for the first time with two affordable audio interfaces for home studios called th	Solid State Logic SSL is best known in the audio realm for its huge professional desks that cost tens of thousands of dollars But its now hoping to break into home studios for the first time with two affordable audio interfaces for home studios called th	2	-1	 Solid[0] State[0] Logic[0] SSL[0] is[0] best[1] known[0] in[0] the[0] audio[0] realm[0] for[0] its[0] huge[0] professional[0] desks[0] that[0] cost[0] tens[0] of[0] thousands[0] of[0] dollars[0] But[0] its[0] now[0] hoping[1] to[0] break[0] into[0] home[0] studios[0] for[0] the[0] first[0] time[0] with[0] two[0] affordable[0] audio[0] interfaces[0] for[0] home[0] studios[0] called[0] th[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Somalias al Shabaab militant group attacked on Sunday a military base in Kenya used by both US and Kenyan forces and published pictures of masked gunmen standing next to an aircraft in flames	Somalias al Shabab militant group attacked on Sunday a military base in Kenya used by both US and Kenyan forces and published pictures of masked gunmen standing next to an aircraft in flames	1	-3	 Somalias[0] al[0] Shabaab/Shabab[0] militant[0] group[0] attacked[-2] on[0] Sunday[0] a[0] military[0] base[0] in[0] Kenya[0] used[0] by[0] both[0] US[0] and[0] Kenyan[0] forces[0] and[0] published[0] pictures[0] of[0] masked[0] gunmen[-1] standing[0] next[0] to[0] an[0] aircraft[0] in[0] flames[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Some one three zero zero zero villagers are already out of their homes but the number could skyrocket Officials even warned of a possible tsunami from the lake the volcano is in	Some one three zero zero zero villagers are already out of their homes but the number could skyrocket Officials even warned of a possible tsunami from the lake the volcano is in	1	-1	 Some[0] one[0] three[0] zero[0] zero[0] zero[0] villagers[0] are[0] already[0] out[0] of[0] their[0] homes[0] but[0] the[0] number[0] could[0] skyrocket[0] Officials[0] even[0] warned[0] of[0] a[0] possible[0] tsunami[0] from[0] the[0] lake[0] the[0] volcano[0] is[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Some three five zero zero soldiers from the eight two nd Airborne Division are bound for the Middle East spelling uncertainty for families and a community where the base is its backbone 	Some three five zero zero soldiers from the eight two nd Airborne Division are bound for the Middle East spelling uncertainty for families and a community where the base is its backbone	1	-2	 Some[0] three[0] five[0] zero[0] zero[0] soldiers[0] from[0] the[0] eight[0] two[0] nd[0] Airborne[0] Division[-1] are[0] bound[0] for[0] the[0] Middle[0] East[0] spelling[0] uncertainty[0] for[0] families[0] and[0] a[0] community[0] where[0] the[0] base[0] is[0] its[0] backbone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Some eight zero zero zero people are ordered to leave their homes after the Taal volcano spews a giant cloud of ash	Some eight zero zero zero people are ordered to leave their homes after the Tal volcano spews a giant cloud of ash	1	-2	 Some[0] eight[0] zero[0] zero[0] zero[0] people[0] are[0] ordered[0] to[0] leave[0] their[0] homes[0] after[0] the[0] Taal/Tal[0] volcano[0] spews[-1] a[0] giant[0] cloud[0] of[0] ash[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Some cracks emerged last week in the formerly solid wall of Republican support for President Donald Trump They were small in number and dwarfed by the vast pro Trump majority on the right Whether they will matter in the long run is another question But 	Some cracks emerged last week in the formerly solid wall of Republican support for President Donald Trump They were small in number and dwarfed by the vast pro Trump majority on the right Whether they will matter in the long run is another question But	2	-1	 Some[0] cracks[0] emerged[0] last[0] week[0] in[0] the[0] formerly[0] solid[0] wall[0] of[0] Republican[0] support[1] for[0] President[0] Donald[0] Trump[0] They[0] were[0] small[0] in[0] number[0] and[0] dwarfed[0] by[0] the[0] vast[0] pro[0] Trump[0] majority[0] on[0] the[0] right[0] Whether[0] they[0] will[0] matter[0] in[0] the[0] long[0] run[0] is[0] another[0] question[0] But[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Some Iranian Americans stunned by the USs killing of Qasem Suleimani and the Iranian regimes response say they re afraid for whats to come and what they already see happening Others say they feel hopeful	Some Iranian Americans stunned by the USs killing of Qasem Suleimani and the Iranian regimes response say they re afraid for whats to come and what they already see happening Others say they feel hopeful	2	-4	 Some[0] Iranian[0] Americans[0] stunned[-1] by[0] the[0] USs[0] killing[-1] of[0] Qasem[0] Suleimani[0] and[0] the[0] Iranian[0] regimes[0] response[0] say[0] they[0] re[0] afraid[-3] for[0] whats[0] to[0] come[0] and[0] what[0] they[0] already[0] see[0] happening[0] Others[0] say[0] they[0] feel[0] hopeful[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
Some models were driven to the verge of suicide after the porn website reneged on privacy promises	Some models were driven to the verge of suicide after the porn website reneged on privacy promises	2	-4	 Some[0] models[0] were[0] driven[0] to[0] the[0] verge[0] of[0] suicide[-3] after[0] the[0] porn[0] website[0] reneged[0] on[0] privacy[0] promises[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
Some of Canadas five zero zero military personnel based in Iraq will be temporarily moved to Kuwait for safety reasons the countrys top military official said on Tuesday due to fears of possible retaliation there after a US drone strike on Irans top military comm	Some of Canadas five zero zero military personnel based in Iraq will be temporarily moved to Kuwait for safety reasons the countrys top military official said on Tuesday due to fears of possible retaliation there after a US drone strike on Irans top military com	2	-3	 Some[0] of[0] Canadas[0] five[0] zero[0] zero[0] military[0] personnel[0] based[0] in[0] Iraq[0] will[0] be[0] temporarily[-1] moved[0] to[0] Kuwait[0] for[0] safety[1] reasons[0] the[0] countrys[0] top[0] military[0] official[0] said[0] on[0] Tuesday[0] due[0] to[0] fears[-2] of[0] possible[0] retaliation[-1] there[0] after[0] a[0] US[0] drone[0] strike[-1] on[0] Irans[0] top[0] military[0] comm/com[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
Some of President Trumps critics claim the Iran strike is an effort to distract Americans from impeachment reaction and analysis on The five 	Some of President Trumps critics claim the Iran strike is an effort to distract Americans from impeachment reaction and analysis on The five	1	-2	 Some[0] of[0] President[0] Trumps[0] critics[0] claim[0] the[0] Iran[0] strike[-1] is[0] an[0] effort[0] to[0] distract[-1] Americans[0] from[0] impeachment[0] reaction[0] and[0] analysis[0] on[0] The[0] five[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Some people attending the vigil for the victims of the terrorist attack in Hanau on Thursday evening came with signs denouncing racisms and xenophobia The Federal Prosecutors Office said the suspected shooter had published a racist manifesto of sorts on his personal website The shooting was Germanys third deadly attack linked to right wing extremism in a year five of the nine people shot dead at two shisha bars in the city were Turkish citizens according to Turkeys ambassador to Berlin	Some people attending the vigil for the victims of the terrorist attack in Hanau on Thursday evening came with signs denouncing racisms and xenophobia The Federal Prosecutors Office said the suspected shooter had published a racist manifesto of sorts on his personal website The shooting was Germanys third deadly attack linked to right wing extremism in a year five of the nine people shot dead at two shisha bars in the city were Turkish citizens according to Turkeys ambassador to Berlin	1	-4	 Some[0] people[0] attending[0] the[0] vigil[0] for[0] the[0] victims[-2] of[0] the[0] terrorist[-2] attack[-2][-1 MultiplePositiveWords] in[0] Hanau[0] on[0] Thursday[0] evening[0] came[0] with[0] signs[0] denouncing[0] racisms[-1] and[0] xenophobia[0] The[0] Federal[0] Prosecutors[-1] Office[0] said[0] the[0] suspected[0] shooter[-1] had[0] published[0] a[0] racist[-1] manifesto[0] of[0] sorts[0] on[0] his[0] personal[0] website[0] The[0] shooting[-1] was[0] Germanys[-1] third[0] deadly[-1] attack[-2] linked[0] to[0] right[0] wing[0] extremism[0] in[0] a[0] year[0] five[0] of[0] the[0] nine[0] people[0] shot[-1] dead[-2] at[0] two[0] shisha[0] bars[0] in[0] the[0] city[0] were[0] Turkish[0] citizens[0] according[0] to[0] Turkeys[0] ambassador[0] to[0] Berlin[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Some state regulators are scrutinizing nonprofit groups that enroll Americans struggling to pay for medical care but arent legally bound to cover their members claims	Some state regulators are scrutinizing nonprofit groups that enroll Americans struggling to pay for medical care but arent legally bound to cover their members claims	2	-2	 Some[0] state[0] regulators[0] are[0] scrutinizing[0] nonprofit[0] groups[0] that[0] enroll[0] Americans[0] struggling[-1] to[0] pay[0] for[0] medical[0] care[1] but[0] arent[0] legally[0] bound[0] to[0] cover[0] their[0] members[0] claims[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Some US officials are now bracing for Iran to retaliate against the US with a cyber attack in response to the killing of one of its top commanders But Iran has shown its also capable of engaging in another form of online warfare social media disinformation	Some US officials are now bracing for Iran to retaliate against the US with a cyber attack in response to the killing of one of its top commanders But Iran has shown its also capable of engaging in another form of online warfare social media disinformation	1	-3	 Some[0] US[0] officials[0] are[0] now[0] bracing[0] for[0] Iran[0] to[0] retaliate[-1] against[-1] the[0] US[0] with[0] a[0] cyber[0] attack[-2] in[0] response[0] to[0] the[0] killing[-1] of[0] one[0] of[0] its[0] top[0] commanders[0] But[0] Iran[0] has[0] shown[0] its[0] also[0] capable[0] of[0] engaging[0] in[0] another[0] form[0] of[0] online[0] warfare[-2] social[0] media[0] disinformation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Sonos has accused Google and Amazon of stealing its technology and trying to put a squeeze on the companys business with similar less expensive products The Verge spoke to Amazon executive Dave Limp about the situation	Sonos has accused Google and Amazon of stealing its technology and trying to put a squeeze on the companys business with similar less expensive products The Verge spoke to Amazon executive Dave Limp about the situation	1	-3	 Sonos[0] has[0] accused[-1] Google[0] and[0] Amazon[0] of[0] stealing[-2] its[0] technology[0] and[0] trying[0] to[0] put[0] a[0] squeeze[0] on[0] the[0] companys[0] business[0] with[0] similar[0] less[0] expensive[-1] products[0] The[0] Verge[0] spoke[0] to[0] Amazon[0] executive[0] Dave[0] Limp[-1] about[0] the[0] situation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Sonos has sued Google for infringing on patents related to its smart speakers claiming Google misappropriated the tech in its Home speakers and Pixel products It argues that Amazon has also infringed the patents but it hasnt filed suit against them	Sonos has sued Google for infringing on patents related to its smart speakers claiming Google misappropriated the tech in its Home speakers and Pixel products It argues that Amazon has also infringed the patents but it hasnt filed suit against them	2	-2	 Sonos[0] has[0] sued[0] Google[0] for[0] infringing[0] on[0] patents[0] related[0] to[0] its[0] smart[1] speakers[0] claiming[0] Google[0] misappropriated[0] the[0] tech[0] in[0] its[0] Home[0] speakers[0] and[0] Pixel[0] products[0] It[0] argues[-1] that[0] Amazon[0] has[0] also[0] infringed[0] the[0] patents[0] but[0] it[0] hasnt[0] filed[0] suit[0] against[-1] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Sonos is being criticized for its practices around sustainability As part of its trade up program Sonos requires customers to activate a Recycle Mode that eventually renders older Sonos devices completely inoperable	Sonos is being criticized for its practices around sustainability As part of its trade up program Sonos requires customers to activate a Recycle Mode that eventually renders older Sonos devices completely inoperable	1	-2	 Sonos[0] is[0] being[0] criticized[-1] for[0] its[0] practices[0] around[0] sustainability[0] As[0] part[0] of[0] its[0] trade[0] up[0] program[0] Sonos[0] requires[0] customers[0] to[0] activate[0] a[0] Recycle[0] Mode[0] that[0] eventually[0] renders[0] older[0] Sonos[0] devices[0] completely[0] inoperable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Sonos recently filed suit against Google for infringing on its wireless speaker patents with products like the Google Home smart speaker but the real feud is over which company runs the computing ecosystem	Sonos recently filed suit against Google for infringing on its wireless speaker patents with products like the Google Home smart speaker but the real feud is over which company runs the computing ecosystem	2	-3	 Sonos[0] recently[0] filed[0] suit[0] against[-1] Google[0] for[0] infringing[0] on[0] its[0] wireless[0] speaker[0] patents[0] with[0] products[0] like[1] the[0] Google[0] Home[0] smart[1] speaker[0] but[0] the[0] real[0] feud[-2] is[0] over[0] which[0] company[0] runs[0] the[0] computing[0] ecosystem[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
Sonoss lawsuit against Google was timed to the first day of CES for maximum impact After initially staying silent Google is now explicitly denying it copied Sonos technology	Sonoss lawsuit against Google was timed to the first day of CES for maximum impact After initially staying silent Google is now explicitly denying it copied Sonos technology	1	-2	 Sonoss[0] lawsuit[-1] against[-1] Google[0] was[0] timed[0] to[0] the[0] first[0] day[0] of[0] CES[0] for[0] maximum[0] impact[0] After[0] initially[0] staying[0] silent[0] Google[0] is[0] now[0] explicitly[0] denying[0] it[0] copied[0] Sonos[0] technology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Sophie Matheson from Nottinghamshire has dropped five dress sizes after committing to a new fitness programme in the lead up to her wedding	Sophie Matheson from Nottinghamshire has dropped five dress sizes after committing to a new fitness programme in the lead up to her wedding	1	-1	 Sophie[0] Matheson[0] from[0] Nottinghamshire[0] has[0] dropped[0] five[0] dress[0] sizes[0] after[0] committing[0] to[0] a[0] new[0] fitness[0] programme[0] in[0] the[0] lead[0] up[0] to[0] her[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Sophie Prescott has slammed Amandas comments	Sophie Prescott has slammed Amandas comments	1	-2	 Sophie[0] Prescott[0] has[0] slammed[-1] Amandas[0] comments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Sorry Fake News Media House Speaker Nancy Pelosi is no master strategist or a political genius not even close	Sorry Fake News Media House Speaker Nancy Pelosi is no master strategist or a political genius not even close	1	-2	 Sorry[-1] Fake[-1] News[0] Media[0] House[0] Speaker[0] Nancy[0] Pelosi[0] is[0] no[0] master[0] strategist[0] or[0] a[0] political[0] genius[0] not[0] even[0] close[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
South Carolina Sen Lindsey Graham on House Speaker Nancy Pelosi withholding impeachment articles from Senate	South Carolina Sen Lindsey Graham on House Speaker Nancy Pelosi witholding impeachment articles from Senate	1	-1	 South[0] Carolina[0] Sen[0] Lindsey[0] Graham[0] on[0] House[0] Speaker[0] Nancy[0] Pelosi[0] withholding/witholding[0] impeachment[0] articles[0] from[0] Senate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
South Korea reported its first death from the new virus on Thursday while the mayor of a southeastern city urged its two five million people to stay inside as infections linked to a church congregation spiked The death was the ninth confirmed from the virus outside mainland China Other deaths have occurred in France Hong Kong Japan the Philippines and Taiwan The Korea Centers for Disease Control and Prevention said the South Korean man believed to be about six three years old died at a hospital on Wednesday and posthumously tested positive for the virus Officials said he had been hospitalized due to schizophrenia for an extended period and recently suffered pneumonia symptoms	South Korea reported its first death from the new virus on Thursday while the mayor of a southeastern city urged its two five million people to stay inside as infections linked to a church congregation spiked The death was the ninth confirmed from the virus outside mainland China Other deaths have occurred in France Hong Kong Japan the Philippines and Taiwan The Korea Centers for Disease Control and Prevention said the South Korean man believed to be about six three years old died at a hospital on Wednesday and posthumously tested positive for the virus Officials said he had been hospitalized due to schizophrenia for an extended period and recently suffered pneumonia symptoms	3	-3	 South[0] Korea[0] reported[0] its[0] first[0] death[-2] from[0] the[0] new[0] virus[0] on[0] Thursday[0] while[0] the[0] mayor[0] of[0] a[0] southeastern[0] city[0] urged[0] its[0] two[0] five[0] million[0] people[0] to[0] stay[0] inside[0] as[0] infections[-1] linked[0] to[0] a[0] church[0] congregation[0] spiked[0] The[0] death[-2] was[0] the[0] ninth[0] confirmed[0] from[0] the[0] virus[0] outside[0] mainland[0] China[0] Other[0] deaths[-2] have[0] occurred[0] in[0] France[0] Hong[0] Kong[0] Japan[0] the[0] Philippines[0] and[0] Taiwan[0] The[0] Korea[0] Centers[0] for[0] Disease[-2] Control[0] and[0] Prevention[0] said[0] the[0] South[0] Korean[0] man[0] believed[0] to[0] be[0] about[0] six[0] three[0] years[0] old[0] died[0] at[0] a[0] hospital[0] on[0] Wednesday[0] and[0] posthumously[0] tested[0] positive[2] for[0] the[0] virus[0] Officials[0] said[0] he[0] had[0] been[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
SpaceX is launching its third group of six zero Starlink satellites into orbit part of the companys plan to create a mega constellation of spacecraft that will beam internet coverage to the Earth below	SpaceX is launching its third group of six zero Starlink satellites into orbit part of the companys plan to create a mega constellation of spacecraft that will beam internet coverage to the Earth below	1	-1	 SpaceX[0] is[0] launching[0] its[0] third[0] group[0] of[0] six[0] zero[0] Starlink[0] satellites[0] into[0] orbit[0] part[0] of[0] the[0] companys[0] plan[0] to[0] create[0] a[0] mega[0] constellation[0] of[0] spacecraft[0] that[0] will[0] beam[0] internet[0] coverage[0] to[0] the[0] Earth[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaker Nancy Pelosi D Calif and other top Democrats are calling on President Trump and Senate	Speaker Nancy Pelosi D Calif and other top Democrats are calling on President Trump and Senate	1	-1	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] and[0] other[0] top[0] Democrats[0] are[0] calling[0] on[0] President[0] Trump[0] and[0] Senate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaker Nancy Pelosi D Calif bitterly complained that President Trump left her and other congr	Speaker Nancy Pelosi D Calif bitterly complained that President Trump left her and other congr	1	-2	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] bitterly[-1] complained[-1] that[0] President[0] Trump[0] left[0] her[0] and[0] other[0] congr[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Speaker Nancy Pelosi D Calif is flexing her muscles at the start of a critical election year b	Speaker Nancy Pelosi D Calif is flexing her muscles at the start of a critical election year b	1	-2	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] is[0] flexing[0] her[0] muscles[0] at[0] the[0] start[0] of[0] a[0] critical[-1] election[0] year[0] b[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Speaker Nancy Pelosi D Calif is likely to decide in the coming days whether to send the articl	Speaker Nancy Pelosi D Calif is likely to decide in the coming days whether to send the articl	1	-1	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] is[0] likely[0] to[0] decide[0] in[0] the[0] coming[0] days[0] whether[0] to[0] send[0] the[0] articl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaker Nancy Pelosi D Calif on Friday ended weeks of speculation surrounding the Democrats i	Speaker Nancy Pelosi D Calif on Friday ended weeks of speculation surrounding the Democrats i	1	-1	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] on[0] Friday[0] ended[0] weeks[0] of[0] speculation[0] surrounding[0] the[0] Democrats[0] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaker Nancy Pelosi D Calif on Friday fired back at Senate Majority Leader Mitch McConnell R	Speaker Nancy Pelosi D Calif on Friday fired back at Senate Majority Leader Mitch McConnell R	1	-3	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] on[0] Friday[0] fired[-2] back[0] at[0] Senate[0] Majority[0] Leader[0] Mitch[0] McConnell[0] R[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Speaker Nancy Pelosi D Calif on Thursday said she would probably be sending the articles of im	Speaker Nancy Pelosi D Calif on Thursday said she would probably be sending the articles of im	1	-1	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] on[0] Thursday[0] said[0] she[0] would[0] probably[0] be[0] sending[0] the[0] articles[0] of[0] im[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaker Nancy Pelosi D Calif on Thursday said that an airstrike that killed top Iranian g	Speaker Nancy Pelosi D Calif on Thursday said that an airstrike that killed top Iranian grin�	1	-1	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] on[0] Thursday[0] said[0] that[0] an[0] airstrike[0] that[0] killed top[0] Iranian[0] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaker Nancy Pelosi D Calif said Friday that she expects to send the articles of im	Speaker Nancy Pelosi D Calif said Friday that she expects to send the articles of im	1	-1	 Speaker[0] Nancy[0] Pelosi[0] D[0] Calif[0] said[0] Friday[0] that she[0] expects to[0] send[0] the[0] articles[0] of[0] im[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Speaking to us last week at CES one Plus CEO Pete Lau confirmed that the companys next major phone s presumably the one Plus eight  will feature screens with a refresh rate of one two zero Hz Lau is not one for subtlety and claimed in a note to us sent later that it wo	Speaking to us last week at CES one Plus CEO Pete Lau confirmed that the companys next major phone s presumably the one Plus eight  will feature screens with a refresh rate of one two zero Hz Lau is not one for subtlety and claimed in a note to us sent later that it wo	1	-1	 Speaking[0] to[0] us[0] last[0] week[0] at[0] CES[0] one[0] Plus[0] CEO[0] Pete[0] Lau[0] confirmed[0] that[0] the[0] companys[0] next[0] major[0] phone[0] s[0] presumably[0] the[0] one[0] Plus[0] eight[0] will[0] feature[0] screens[0] with[0] a[0] refresh[0] rate[0] of[0] one[0] two[0] zero[0] Hz[0] Lau[0] is[0] not[0] one[0] for[0] subtlety[0] and[0] claimed[0] in[0] a[0] note[0] to[0] us[0] sent[0] later[0] that[0] it[0] wo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Spokesman insists government did not lie about plane shootdown dismisses Trumps messages of support for protesters	Spokesman insists government did not lie about plane shootdown dismisses Trumps messages of support for protesters	2	-2	 Spokesman[0] insists[0] government[0] did[0] not[0] lie[0] about[0] plane[0] shootdown[-1] dismisses[-1] Trumps[0] messages[0] of[0] support[1] for[0] protesters[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Squad congresswoman Ilhan Omar told friends years ago that the man who went on to become her second husband was in fact her brother DailyMailcom can confirm And now for the first time one of those friends has come forward to reveal exactly how Omar and Ahmed Elmi scandalized the Somali community in Minneapolis Abdihakim Osman is the first person to go on record to speak of how Omar said she wanted to get her brother papers so he could stay in the United States at a time when she was married to her first husband Ahmed Hirsi But hardly anyone realized that meant marrying him 	Squad congresswoman Ilhan Omar told friends years ago that the man who went on to become her second husband was in fact her brother DailyMailcom can confirm And now for the first time one of those friends has come forward to reveal exactly how Omar and Ahmed Elmi scandalized the Somali community in Minneapolis Abdihakim Osman is the first person to go on record to speak of how Omar said she wanted to get her brother papers so he could stay in the United States at a time when she was married to her first husband Ahmed Hirsi But hardly anyone realized that meant marrying him	2	-3	 Squad[0] congresswoman[0] Ilhan[0] Omar[0] told[0] friends[1] years[0] ago[0] that[0] the[0] man[0] who[0] went[0] on[0] to[0] become[0] her[0] second[0] husband[0] was[0] in[0] fact[0] her[0] brother[0] DailyMailcom[0] can[0] confirm[0] And[0] now[0] for[0] the[0] first[0] time[0] one[0] of[0] those[0] friends[1] has[0] come[0] forward[0] to[0] reveal[0] exactly[0] how[0] Omar[0] and[0] Ahmed[0] Elmi[0] scandalized[-2] the[0] Somali[0] community[0] in[0] Minneapolis[0] Abdihakim[0] Osman[0] is[0] the[0] first[0] person[0] to[0] go[0] on[0] record[0] to[0] speak[0] of[0] how[0] Omar[0] said[0] she[0] wanted[0] to[0] get[0] her[0] brother[0] papers[0] so[0] he[0] could[0] stay[0] in[0] the[0] United[0] States[0] at[0] a[0] time[0] when[0] she[0] was[0] married[0] to[0] her[0] first[0] husband[0] Ahmed[0] Hirsi[0] But[0] hardly[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
Star actress America Ferrera leads the tributes saying she is stunned and heartbroken 	Star actress America Ferrera leads the tributes saying she is stunned and heartbroken	1	-4	 Star[0] actress[0] America[0] Ferrera[0] leads[0] the[0] tributes[0] saying[0] she[0] is[0] stunned[-1] and[0] heartbroken[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Stars of Fleabag  and The Crown were among those celebrated at the annual film ceremony	Stars of Fleabag  and The Crown were among those celebrated at the annual film ceremony	2	-1	 Stars[0] of[0] Fleabag[0]  and[0] The[0] Crown[0] were[0] among[0] those[0] celebrated[1] at[0] the[0] annual[0] film[0] ceremony[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
